Customer ID,Customer Name,Segment,Region,Loyalty Tier,Signup Date
CUST01918,Customer 1918,Consumer,West,Bronze,2018-06-28
CUST01278,Customer 1278,Enterprise,South,Silver,2017-07-22
CUST04030,Customer 4030,Enterprise,East,Bronze,2018-02-13
CUST03431,Customer 3431,Consumer,North,Silver,2023-02-13
CUST00709,Customer 0709,Enterprise,East,Silver,2016-09-03
CUST02157,Customer 2157,Enterprise,West,Bronze,2017-05-13
CUST04788,Customer 4788,Consumer,North,Silver,2019-12-21
CUST03057,Customer 3057,Corporate,East,Gold,2019-02-06
CUST02333,Customer 2333,Enterprise,South,Gold,2017-11-07
CUST02933,Customer 2933,Enterprise,South,Bronze,2021-12-28
CUST01350,Customer 1350,SMB,North,Gold,2018-01-07
CUST03410,Customer 3410,SMB,South,Bronze,2024-05-11
CUST04087,Customer 4087,Consumer,West,Bronze,2019-09-01
CUST04854,Customer 4854,Corporate,South,Silver,2019-04-02
CUST03090,Customer 3090,SMB,North,Bronze,2023-07-12
CUST02160,Customer 2160,Corporate,South,Bronze,2017-12-09
CUST01480,Customer 1480,Corporate,West,Bronze,2022-10-10
CUST03535,Customer 3535,Enterprise,South,Bronze,2016-09-18
CUST00871,Customer 0871,SMB,East,Silver,2018-05-14
CUST00023,Customer 0023,SMB,North,Bronze,2019-07-02
CUST01057,Customer 1057,Enterprise,West,Silver,2016-10-24
CUST00236,Customer 0236,Corporate,North,Silver,2019-07-30
CUST01840,Customer 1840,SMB,West,Bronze,2018-03-07
CUST04464,Customer 4464,Corporate,West,Bronze,2020-05-23
CUST00243,Customer 0243,SMB,East,Bronze,2017-06-16
CUST04982,Customer 4982,SMB,South,Gold,2016-08-16
CUST00020,Customer 0020,Corporate,West,Gold,2015-11-13
CUST03005,Customer 3005,SMB,West,Silver,2018-06-23
CUST03307,Customer 3307,Enterprise,East,Silver,2016-01-10
CUST03024,Customer 3024,Enterprise,North,Bronze,2023-04-19
CUST01597,Customer 1597,Enterprise,South,Silver,2022-10-29
CUST02588,Customer 2588,Enterprise,West,Bronze,2015-09-26
CUST00365,Customer 0365,Corporate,East,Bronze,2022-04-24
CUST02848,Customer 2848,Enterprise,South,Gold,2020-09-26
CUST03193,Customer 3193,Corporate,South,Gold,2017-04-04
CUST04675,Customer 4675,Corporate,West,Bronze,2017-04-12
CUST04141,Customer 4141,Consumer,North,Silver,2019-09-25
CUST03172,Customer 3172,Corporate,East,Silver,2022-08-17
CUST03836,Customer 3836,SMB,North,Gold,2016-04-22
CUST00224,Customer 0224,Corporate,North,Gold,2019-05-21
CUST03179,Customer 3179,Consumer,East,Gold,2023-08-25
CUST04410,Customer 4410,SMB,South,Silver,2018-12-21
CUST04855,Customer 4855,Enterprise,South,Bronze,2023-03-11
CUST04264,Customer 4264,SMB,East,Silver,2018-12-28
CUST04859,Customer 4859,Enterprise,North,Bronze,2017-09-01
CUST02479,Customer 2479,SMB,South,Silver,2016-01-06
CUST00079,Customer 0079,Consumer,East,Silver,2015-03-28
CUST02871,Customer 2871,SMB,East,Gold,2015-09-28
CUST00916,Customer 0916,SMB,East,Bronze,2016-12-03
CUST00853,Customer 0853,Corporate,North,Silver,2019-01-25
CUST00494,Customer 0494,Enterprise,West,Platinum,2021-03-07
CUST04688,Customer 4688,Enterprise,West,Gold,2021-09-05
CUST04738,Customer 4738,SMB,West,Silver,2021-04-08
CUST02856,Customer 2856,Enterprise,North,Bronze,2017-07-08
CUST03119,Customer 3119,SMB,North,Bronze,2018-06-09
CUST04740,Customer 4740,Corporate,East,Platinum,2016-06-28
CUST04725,Customer 4725,Enterprise,North,Bronze,2021-01-08
CUST02182,Customer 2182,Consumer,South,Silver,2018-05-13
CUST03899,Customer 3899,Enterprise,West,Gold,2018-03-20
CUST01622,Customer 1622,Consumer,East,Bronze,2019-09-04
CUST03920,Customer 3920,Corporate,West,Platinum,2023-11-11
CUST00924,Customer 0924,Corporate,East,Bronze,2023-03-30
CUST00752,Customer 0752,Consumer,West,Gold,2016-08-25
CUST03855,Customer 3855,Enterprise,West,Bronze,2015-06-20
CUST00623,Customer 0623,Corporate,East,Bronze,2023-06-11
CUST04191,Customer 4191,Enterprise,South,Silver,2020-09-15
CUST01853,Customer 1853,Corporate,East,Silver,2018-02-23
CUST03721,Customer 3721,SMB,North,Bronze,2024-08-28
CUST02842,Customer 2842,Corporate,North,Bronze,2017-08-31
CUST03472,Customer 3472,SMB,West,Gold,2018-05-15
CUST02988,Customer 2988,Enterprise,South,Bronze,2015-11-17
CUST04925,Customer 4925,Corporate,East,Silver,2023-10-07
CUST02884,Customer 2884,Corporate,West,Platinum,2024-04-08
CUST03564,Customer 3564,Consumer,South,Bronze,2022-04-01
CUST02914,Customer 2914,Enterprise,West,Bronze,2020-03-18
CUST00503,Customer 0503,SMB,East,Bronze,2023-05-16
CUST03116,Customer 3116,Consumer,West,Bronze,2022-07-12
