Order ID,Date,Customer ID,Product,Category,Region,Quantity,Unit Price,Discount,Tax,Revenue,COGS,Expenses
ORD00000001,2025-02-06,CUST01446,Gadget Y,Home,South,11,118.77,73.37,147.97,1381.07,1083.09,94.51
ORD00000002,2024-05-10,CUST01166,Gadget X,Home,South,3,333.03,98.89,108.02,1008.22,674.73,34.19
ORD00000003,2025-04-23,CUST00039,Widget B,Home,East,17,19.68,17.18,57.13,374.51,268.96,13.46
ORD00000004,2025-06-05,CUST00484,Gadget X,Electronics,North,9,452.81,151.71,196.18,4119.76,2852.36,223.39
ORD00000005,2025-03-28,CUST00761,Widget A,Electronics,North,19,130.95,123.13,283.79,2648.71,2006.79,115.1
ORD00000006,2023-06-12,CUST00430,Gadget Y,Electronics,South,8,243.17,139.14,325.12,2131.34,1552.58,145.03
ORD00000007,2025-08-27,CUST03799,Gadget Y,Home,East,1,198.41,1.96,35.36,231.81,151.19,9.34
ORD00000008,2025-04-24,CUST00038,Widget B,Home,South,7,474.7,148.55,0.0,3174.35,1870.52,218.01
ORD00000009,2025-07-16,CUST01555,Widget A,Home,North,12,88.35,18.39,187.53,1229.34,806.76,91.13
ORD00000010,2025-08-16,CUST03913,Gadget Y,Home,North,1,185.78,12.03,31.28,205.03,159.51,11.53
ORD00000011,2024-11-11,CUST00471,Widget A,Home,North,10,332.55,316.59,150.45,3159.36,2331.4,169.38
ORD00000012,2024-11-20,CUST02620,Widget A,Office,North,15,144.86,50.61,382.01,2504.3,1636.12,173.07
ORD00000013,2025-06-04,CUST01001,Widget A,Home,West,17,274.6,182.4,224.29,4710.09,3035.56,257.38
ORD00000014,2023-10-09,CUST01285,Widget A,Industrial,South,15,18.32,7.45,32.08,299.43,168.39,16.77
ORD00000015,2023-11-15,CUST01777,Gadget Y,Electronics,West,5,451.57,87.34,0.0,2170.51,1358.29,125.43
ORD00000016,2023-11-08,CUST02316,Widget C,Office,South,14,420.05,270.04,0.0,5610.66,3995.38,195.43
ORD00000017,2024-11-03,CUST03043,Widget A,Office,West,15,66.49,77.67,45.98,965.66,748.72,26.75
ORD00000018,2024-06-09,CUST02476,Gadget Y,Office,West,8,365.89,164.47,0.0,2762.65,1981.21,85.54
ORD00000019,2025-01-13,CUST00083,Widget C,Office,East,13,35.29,22.99,52.29,488.07,272.48,27.06
ORD00000020,2025-05-30,CUST00732,Gadget X,Electronics,West,10,461.7,14.0,230.15,4833.15,3051.85,163.9
ORD00000021,2023-06-24,CUST02510,Widget C,Office,South,8,64.39,2.18,25.65,538.59,401.06,43.02
ORD00000022,2023-07-15,CUST01156,Widget A,Office,South,13,182.64,204.39,260.39,2430.32,1842.11,69.87
ORD00000023,2024-10-06,CUST00240,Gadget X,Industrial,North,19,429.5,676.42,898.09,8382.17,4806.12,570.16
ORD00000024,2023-01-21,CUST02189,Gadget Y,Office,East,19,107.41,28.39,100.62,2113.02,1301.78,134.17
ORD00000025,2025-04-29,CUST01268,Gadget Y,Electronics,East,1,464.39,40.85,21.18,444.72,280.53,34.3
ORD00000026,2025-12-03,CUST03359,Gadget X,Industrial,East,6,335.24,196.95,90.72,1905.21,1472.78,67.27
ORD00000027,2025-04-12,CUST03558,Gadget X,Industrial,North,16,240.01,274.75,178.27,3743.68,2598.06,257.97
ORD00000028,2024-03-24,CUST00519,Gadget X,Industrial,South,15,65.64,45.7,169.0,1107.9,661.08,57.04
ORD00000029,2025-03-13,CUST03108,Gadget Y,Electronics,South,14,330.08,102.26,542.26,5061.12,3515.58,197.18
ORD00000030,2025-03-08,CUST03433,Widget C,Office,West,12,296.42,315.96,162.05,3403.13,2489.8,175.23
ORD00000031,2025-10-11,CUST02562,Gadget Y,Office,North,9,214.04,68.26,334.46,2192.56,1403.98,117.71
ORD00000032,2024-10-19,CUST02436,Widget B,Office,South,13,204.74,63.99,467.57,3065.2,2407.09,84.42
ORD00000033,2023-08-22,CUST01856,Widget B,Industrial,South,16,296.64,273.35,805.12,5278.01,3995.89,325.8
ORD00000034,2025-04-15,CUST01959,Widget A,Electronics,South,2,208.55,37.79,45.52,424.83,299.93,13.3
ORD00000035,2024-10-29,CUST00316,Widget C,Home,South,1,343.18,29.88,37.6,350.9,226.28,17.26
ORD00000036,2023-04-03,CUST00576,Gadget X,Home,West,15,220.89,268.25,152.26,3197.36,1767.46,166.86
ORD00000037,2025-05-13,CUST02736,Widget C,Electronics,East,2,489.96,30.31,47.48,997.09,566.26,23.2
ORD00000038,2025-04-27,CUST02200,Widget A,Industrial,South,8,279.25,170.73,247.59,2310.86,1736.21,99.66
ORD00000039,2025-10-14,CUST00696,Widget C,Electronics,South,3,74.69,20.12,24.47,228.42,176.75,13.28
ORD00000040,2025-08-20,CUST01415,Widget C,Office,East,7,484.2,284.03,155.27,3260.64,1894.34,83.04
ORD00000041,2023-07-23,CUST02585,Widget A,Home,South,4,492.87,120.61,92.54,1943.41,1112.57,58.59
ORD00000042,2023-03-10,CUST00756,Widget C,Industrial,West,9,496.52,252.92,0.0,4215.76,3043.54,327.25
ORD00000043,2025-09-21,CUST00843,Widget B,Industrial,North,1,156.27,13.19,17.17,160.25,110.49,9.16
ORD00000044,2024-06-17,CUST03520,Widget C,Electronics,South,17,174.91,155.66,338.14,3155.95,2026.49,221.69
ORD00000045,2025-12-11,CUST01832,Widget A,Office,South,14,8.06,2.77,13.21,123.28,77.35,5.87
ORD00000046,2025-07-17,CUST01842,Gadget Y,Home,West,13,444.44,260.85,275.84,5792.71,3539.84,163.69
ORD00000047,2024-06-11,CUST00294,Widget B,Office,South,15,356.34,453.91,586.94,5478.13,3286.48,307.15
ORD00000048,2024-11-01,CUST00319,Widget C,Electronics,North,1,144.39,0.27,0.0,144.12,87.47,3.51
ORD00000049,2023-08-20,CUST02598,Widget A,Industrial,South,11,97.39,44.4,0.0,1026.89,649.79,29.03
ORD00000050,2023-08-28,CUST01209,Widget C,Home,East,5,445.53,191.15,101.82,2138.32,1449.33,81.13
ORD00000051,2024-01-15,CUST01119,Widget B,Electronics,West,17,180.62,166.69,0.0,2903.85,2307.43,155.93
ORD00000052,2023-08-01,CUST00726,Widget A,Home,North,14,283.67,156.41,0.0,3814.97,2125.63,84.3
ORD00000053,2023-01-01,CUST03014,Widget C,Industrial,East,2,83.24,11.87,7.73,162.34,120.26,7.0
ORD00000054,2023-10-28,CUST03757,Widget B,Home,East,17,92.13,96.18,264.61,1734.64,999.64,95.92
ORD00000055,2023-04-17,CUST01042,Widget B,Office,South,12,196.91,133.0,0.0,2229.92,1533.2,111.36
ORD00000056,2024-10-03,CUST00973,Widget A,Industrial,North,11,129.07,32.85,249.65,1636.57,977.66,86.64
ORD00000057,2024-06-15,CUST03118,Gadget X,Office,East,3,115.19,31.83,37.65,351.39,194.38,26.77
ORD00000058,2025-03-19,CUST02026,Widget A,Electronics,East,12,206.68,20.9,0.0,2459.26,1430.21,194.28
ORD00000059,2025-11-10,CUST03176,Widget C,Office,North,8,108.62,60.11,40.44,849.29,514.82,59.82
ORD00000060,2024-10-09,CUST02982,Widget C,Office,East,6,472.39,189.72,317.35,2961.97,1847.26,166.22
ORD00000061,2023-02-10,CUST03182,Gadget X,Office,East,5,293.99,19.13,0.0,1450.82,865.07,57.88
ORD00000062,2024-07-15,CUST00634,Widget C,Home,South,3,26.61,0.8,0.0,79.03,49.41,4.35
ORD00000063,2024-05-12,CUST02141,Gadget X,Industrial,East,16,114.02,62.42,0.0,1761.9,1100.19,111.95
ORD00000064,2024-02-14,CUST01750,Gadget Y,Home,West,9,227.11,16.54,243.29,2270.74,1764.55,99.3
ORD00000065,2024-01-10,CUST03467,Widget B,Home,South,6,217.96,124.7,0.0,1183.06,877.33,60.21
ORD00000066,2023-03-28,CUST02613,Widget A,Industrial,West,11,345.22,326.32,416.53,3887.63,2319.46,194.06
ORD00000067,2023-12-13,CUST02980,Gadget X,Industrial,North,7,387.44,257.17,122.75,2577.66,1834.55,171.03
ORD00000068,2025-08-11,CUST03527,Widget A,Industrial,East,11,287.32,313.39,341.66,3188.79,2080.99,85.05
ORD00000069,2023-12-18,CUST02762,Widget B,Industrial,East,1,181.42,3.99,0.0,177.43,118.1,12.48
ORD00000070,2023-07-01,CUST02616,Gadget X,Office,East,4,97.87,30.15,43.36,404.69,256.25,17.8
ORD00000071,2023-01-07,CUST02119,Gadget X,Industrial,South,13,23.36,13.86,52.17,341.99,244.22,18.85
ORD00000072,2024-08-12,CUST00321,Widget A,Home,North,2,34.83,0.3,8.32,77.68,43.21,1.66
ORD00000073,2024-08-21,CUST02883,Widget C,Home,North,19,208.17,203.58,450.2,4201.85,2706.3,194.5
ORD00000074,2025-09-20,CUST01286,Gadget X,Home,South,7,5.68,0.33,1.97,41.4,30.72,2.18
ORD00000075,2023-05-06,CUST00494,Widget B,Electronics,North,11,172.58,187.26,205.33,1916.45,1530.26,121.91
ORD00000076,2023-04-28,CUST01404,Gadget X,Electronics,North,16,8.76,11.67,15.42,143.91,84.02,7.0
ORD00000077,2023-02-18,CUST01388,Gadget X,Industrial,North,10,431.25,356.32,197.81,4153.99,2631.88,224.02
ORD00000078,2024-03-18,CUST01553,Gadget X,Office,South,6,109.52,5.12,117.36,769.36,497.63,45.93
ORD00000079,2024-04-17,CUST01121,Widget B,Electronics,West,17,333.49,4.37,679.8,6344.76,4357.09,348.4
ORD00000080,2023-05-10,CUST03766,Widget B,Electronics,North,13,446.59,155.36,1017.06,6667.37,4474.71,436.06
ORD00000081,2025-07-25,CUST03534,Widget C,Electronics,South,14,445.34,518.4,285.82,6002.18,4545.53,396.65
ORD00000082,2025-03-06,CUST00143,Widget A,Electronics,South,5,412.26,119.54,97.09,2038.85,1447.36,99.13
ORD00000083,2023-12-03,CUST01987,Widget C,Home,South,2,318.52,41.56,29.77,625.25,471.44,41.93
ORD00000084,2024-12-11,CUST01209,Gadget Y,Industrial,East,5,114.98,7.4,28.38,595.88,434.41,25.4
